text,category,date,severity,value_weight,financial_impact,confidence,app_version,upvotes
"Content is tired, cliche, uncreative under AI slop. In the odd rare chance of a great movie, they have encrapified so severely that users will go months paying for an odd co-dependent expectation for another when they can just one time rent on Amazon or Itunes. Netflix is not the future, it is so 2015. If Netflix ceased to exist, half of users quickly find a lazy replacement, the other half, find a revelatory liberation.",Content & Features,2026-03,2.0,0.8,1.6,0.3287,9.58.0 build 5 63968,0
"service constantly drops out. In addition, it can be really slow. a lot of the shows are voiced over in English and then sound funny, and they sound and lip movements don't match.",Video & Streaming Playback,2026-03,2.0,1.0,2.0,0.3127,9.57.0 build 3 63928,0
"This is for cancelling shows like Mindhunter and 1989, recasting Henry cavill and overall butchering Witcher franchise and mostly for keeping the Israeli propoganda spy shows on your platform . The 2 stars are for not messing One Piece up.",General App Feedback,2026-03,2.0,2.5,5.0,0.1303,8.15.0 build 7 40137,0
I have a very bad experience with Netflix. Every time I try to login or try to open Netflix I see the logo then the screen goes black I tried on different phone also same issue I am switching to another platform,Account & Login,2026-03,2.5,2.5,6.25,0.3744,,0
"Poor user experience because of ""watch temporary"" error and demanding a code from Netflix too often, from every user in the family... Otherwise a decent app, but the error is persistent and should be resolved.",Bugs & Technical Errors,2026-03,2.5,1.0,2.5,0.4339,9.55.0 build 6 63912,1
only thing I wish this had was howls moving castle I remember watching it when I was 7 but I don't remember much about,General App Feedback,2026-03,2.0,2.5,5.0,0.1493,9.50.2 build 8 63832,0
to expensive and still can only login for one device not satisfied,Account & Login,2026-03,2.0,1.0,2.0,0.4032,,0
I already cancel my subscription yet it purchase for another month😤😤😤,Subscription & Billing,2026-02,2.0,1.0,2.0,0.6346,9.54.0 build 8 63892,0
this household stuff is bs. I pay for my partner and I to watch from separate houses. stupid app going elsewhere..,General App Feedback,2026-02,2.0,2.5,5.0,0.2711,9.15.1 build 11 62624,0
"I can't browse around and see what movies, series, and anime are available; I keep getting a ""PAY TO RENEW YOUR MEMBERSHIP"" message. What kind of nonsense is this? Why would I renew my membership if I can't see or find out what's on it? So, I'm at ease.",Subscription & Billing,2026-02,2.0,0.8,1.6,0.4388,,3
Why Screentouch Speed feature Stopped. Giving daily updates for app means you are not able to control quality of releases. Work on it and then share periodic updates instead of daily updates.,General App Feedback,2026-02,2.0,4.0,8.0,0.2689,,0
Why can't I watch my download when I'm offline?,Download & Offline,2026-02,2.0,0.8,1.6,0.7283,9.53.0 build 8 63868,0
too much Indonesian nonsense horror movie.. gimme back the old netflix vibes,General App Feedback,2026-02,2.0,4.0,8.0,0.1585,9.52.1 build 11 63856,0
"The mobile app has almost become unusable, for some reason it mixes profile settings in terms of watch history and parental settings. Just bizzare for a company of this size. The quality of new content has decreased drastically over the past couple of years also. it's search functionality is wors than any other app I use. Shame.",Content & Features,2026-02,2.0,2.5,5.0,0.3238,9.53.0 build 8 63868,2
"Can you please fix this bug. The fast forward and pause button is always showing up and it take 8 seconds to disappear. I mean the playback button takes 8 seconds to disappear. Can you update the Netflix to have a setting for playback controls please, i will give you 5 star if you fix this problem. [Problem fixed] Thank you.",Video & Streaming Playback,2026-02,2.5,1.0,2.5,0.425,9.53.1 build 9 63884,14
the reason why I'm giving Netflix a one-star rating is because they removed my favorite childhood show like what happens if a mother grew up watching glitter Force and that has a kid and she wants her kid to watch it when she's older then the kid is almost old enough to watch it and they just remove it bring back glitter Force bring back glitter Force please my sister is just a little girl and she wants to watch so badly please think about my little sister,General App Feedback,2026-02,2.0,2.5,5.0,0.1759,9.52.1 build 11 63856,0
"I have recently updated my tablet to Android 15 and after the update, Netflix is not working anymore. I have tried to clear cache/cookies, reinstall the app and restarted the tablet but still not working. I also did a factory reset on my device but it's still not working. I've emailed Netflix with the photo of the error message that I am getting which says ""there is a problem playing the video 5.10"". I have not received any response. PLEASE resolve this ASAP. I cannot use the app with this bug!!",Video & Streaming Playback,2026-02,2.9,1.0,2.9,0.3439,9.52.1 build 11 63856,0
"no subtitles for freiren , should I take Duolingo lessons before watching an anime ?",General App Feedback,2026-02,2.0,4.0,8.0,0.1426,9.51.0 build 6 63840,0
"I am writing to express my strong disappointment as a paid subscriber. The movie Dhurandhar: Part 1 was released on Netflix without Kannada audio, even though Tamil and Telugu were included. This feels like regional discrimination against the Karnataka People's So I Decided to uninstall Netflix",General App Feedback,2026-02,2.0,2.5,5.0,0.286,9.50.2 build 8 63832,0
I loved Netflix in till It started glitching and was all squares like the old television and I have to uninstall it and for a moment it will be just fine and then crash out again 😞,Video & Streaming Playback,2026-02,2.5,2.5,6.25,0.3691,8.96.1 build 16 50568,0
"Gone downhill in another major way by taking away the ability to cast from your phone. First it was limiting account sharing, then adding tiered subscriptions so most users have to watch ads on an app they are paying for, now making you have acess to a smart TV everywhere you go. It's diminishing my trust in Netflix as a platform, as well as the way they treat their biggest shows.",General App Feedback,2026-02,2.0,1.0,2.0,0.2675,9.51.0 build 6 63840,0
It opens itself even if you don't want to watch and it goes back to profile section when watching. It's unfair because we pay to watch so if the app misbehave the money goes down the drain,App Crash & Launch Failure,2026-01,2.0,1.0,2.0,0.3454,9.51.0 build 6 63840,0
Used to be great but I'll probably cancel my subscription as I can't cast to my tv anymore. such I shame they removed this function.,Subscription & Billing,2026-01,2.0,4.0,8.0,0.363,9.51.0 build 6 63840,0
"Greedy bastards only want money now, seems they've forgotten how they got so famous in the first place. Long ago when things started turning digital people would share accounts with family and friends now its next to nothing. please remember this and stop being Greedy",General App Feedback,2026-01,2.0,4.0,8.0,0.2831,8.109.0 build 7 50647,1
"This rating is purely for the live sports on Netflix. Trying to watch a live sporting event us a joke. it continually closes and starts from the beginning if you need to go out for any reason. If an event is live, and you join late, you cant start from the beginning, you need to start from live (and hope you don't see any spoilers). It's actually a joke, and really needs to be sorted out.",General App Feedback,2026-01,2.0,1.0,2.0,0.2653,9.26.0 build 17 63116,0
"I'm having issues on my oppo reno 11. Nothing works, I've tried everything. Reinstalling, cache clearing, restarting, but to no avail. The app itself opens and works fine, but It just says ""loading"" on a black screen whenever I try to play anything. So I can't play anything at all. It's only happening on this oppo reno 11,it works fine on another phone or TV. Please fix. Edit: It got fixed",App Crash & Launch Failure,2026-01,2.0,2.5,5.0,0.4495,9.48.0 build 5 63768,9
"The new UX is unusable. The long scroll instead of rolls of carousels is making me want to cancel my subscription. It's terrible. Turn off the experiment, it's the worst. edit. they reverted this disaster. now it's just expensive and has lower quality shows. they removed windows downloads. which sucks.",Subscription & Billing,2026-01,2.0,2.5,5.0,0.3,9.8.2 build 6 62380,0
"update should make you broke, cancel mine because I can't and I don't want to pay for services that are unusable, you lot are beyond a greedy joke",Subscription & Billing,2026-01,2.0,4.0,8.0,0.4484,9.48.0 build 5 63768,0
