topic_id,keywords,label,mentions,sample_reviews
27,"pay, money, watch, free, movie",Pay & Money Issues,375,"['It is a great app but some one can not pay because of money', 'just hate about the part where you have to pay', 'this is stupid aap. only asking Auto pay.Auto pay. I do not want. Auto pay. first show subscription only 199. and after Auto pay 2000. I think Auto pay option is Scam.', ""I have a lot of problems trying to pay for Netflix using my Safaricom global pay..it has absolutely..I have resorted to using the paybill number 174379..it has taken the money but not returned Netflix..so that's money lost. I'm very frustrated. Make is EASY to pay Netflix in Kenya"", 'The annoyingest thing is that every month I have to pay', ""I pay every month just to find out I can't watch when I really have time now"", 'To be honest it so stupid we have pay for Netflix we should not have pay for it we all can agree that we shoundnt pay for Netflix', ""Hate it I pay 4 it I can't login in To see publicity"", 'You have to pay me with better service to get my 2 star.', 'ad hellscape i dont see why anyone would pay for this garbage', ""it should be free you don't have to pay for it this is a bad thing is supposed to be for people that don't have any money on their phone 😡😡😡😡😤"", ""Netflix was good before, but now it's trash because you have to pay every time after a month, it's lowkey dumb. You can't just make people pay every month, it can make people waste money over months, so please let people watch movies for free, just change it, like no ads or anything besides pay after a month just to watch on Netflix."", 'Hi there... I want to watch in netflix but i dont have an account, i need to sign up and to pay', ""it's soon good that I don't have to pay to watch any movies on it"", ""netflix don't have the movies I ever searched for either they were removed on expiration of their agreement or never added in this. we pay Netflix for their services but what's the use if we have to find movies elsewhere. totally bullshit services by Netflix. I pay Netflix to watch movies that I like not the ones they like to show us.""]"
26,"cancel, subscription, charge, trial, help",Cancel & Subscription Issues,230,"['Cancelled my subscription, but i still get charged.', ""even when you stop your subscription and cancel your account they will still charge you and won't stop and NO ONE WILL HELP."", 'I already cancel my subscription yet it purchase for another month😤😤😤', 'Not able to cancel subscription... I wish I could rate 0', 'My subscription still continued even if I already cancelled it.', ""They just raised the prices and the button to cancel my subscription isn't working. Every other button is working fine except that one."", 'I cancel my subscription both here and on app but still renewing my subscription, getting paid without my consent even though I cancel them on time and you even reminding me my last day of subs.', ""I've cancel membership but still being charge??"", 'Please cancelled my subscription for netflix', ""It won't allow to change plan while the subscription is on pause. If you resume, then current plan price is charged. If you try to cancel subscription from app, it gives an option to copy link for browser, but there is no link. You can't even cancel it from app. Cheap tactics from netflix."", ""it's still not working after subscription 👎"", 'Paid subscription? and drowned in adverts Over priced', 'I was about to cancel but you put Becoming back where it belongs', 'I would like to cancel as I never watch it', 'why does netflix automatically get payment without permission?? they should have an option where they ask if they can or if im gonna cancel my subscription']"
12,"video, watch, play, tiktok, photo",Video & Watch Issues,182,"['Whenever I go to watch a video it just loads and does not play any video', 'When you open a video and goes back nothing happens it stuck on the same video, fix the glitch', 'Cant play video always displaying error playing video. even i restart the app.', 'Video playback issues and video quality make this app let down the app', 'always theres a problem with the video on downloaded episodes', ""Can't Play videos while on video call or voice call"", 'why is the video stuck? not sure if its crushing or whatever happened... already updated but still cannot play video...', 'Video freezes every few minutes for 5 seconds', ""Why does every time I play a video it always loads? Even though I've already paid?"", ""Sound and Video isn't synchronous. It's really difficult to watch anything if the video and sound of dialogues are asynchronous"", 'on mobile app: closes all the time the video like every 5 seconds', ""it's not working in my phone. I can't play any video"", 'even in wifi video quality suddenly becomes low and video resolution poor quality.', 'Video quality is bad compared to other streaming companies on phones 1080 res', 'Video quality is very bad... Brightness is very low...dark scenes have low vision... Prime video has much better video quality']"
10,"sign, google, email, password, hate",Sign & Google Issues,166,"[""I can't sign in to it, it keeps showing sign in"", ""can't sign in on my account due to compatibility. But could sign in last week."", 'App does not open must sign in once signed in has same problem want me to sign in', ""i can't sign in my account. i stop paying the bill since i can't sign in."", ""I downloaded the app but I can't even sign in or sign up"", ""I can't sign out I sign out but your app say not sign out so I will uninstall your app"", 'love it just it wont let me sign in to my account', ""Can't Sign in I used my password but it's not working"", 'It so amazing app but it refused in to me on sign up', 'Netflix sign in process is very discussing', ""Can someone please tell me why when I've downloaded Netflix and wanna sign in it keeps on kicking me out I'm not able to sign in"", ""i can't sign in.. how im gonna use netflix if I can't sign in??"", 'If I could give 0 rating, I will. 1, While sign up I sign up on incorrect email, like instead of Gmail I sign up on gmaol, and payment is processed. Now I am at dead end. Netflix help is 0 on this topic.', 'very worst,sign in panna mudiyala very worst and disappointed 😞☹️', 'I had to pay this Netflix I already sign up for this now paying Netflix is so stupid 😡😡']"
2,"open, viber, close, messenger, browser",Open & Viber Issues,154,"['It will not open just spins. It’s been about a week.', 'The doesnt want to open trying to open it', ""didn't like that sometimes when i open it from other location it can't be opened"", ""I couldn't describe our feel I still haven' it open yet"", 'error app, not responding, and can not open on my phone. olease fix it', ""I can't seems to open an account it isn't working"", ""after last update I can't even open the app. why am.i paying for this."", 'I paid 25$ for subscription & downloaded the app but it refuses to open NOW WHAT', 'i cannot open it, i want to Stop my subscription now', ""I CAN'T OPEN MY ACCOUNT EVEN THOUGH I ALREADY PAID!"", ""I can't open or watch my netflix.. everythime i open my netflix it will automactically shutdown."", 'not bale to open the netflix when I open the app ,I can see only Netflix not bale to see the list of movies', 'Sometimes I open the Netflix app and it cuts off and I come to home screen and I have to open the Netflix app again fix this issue', 'please my money back because Netflix is not open', 'I only give 1 starts because I am not open to the netflix. Why not?']"
11,"add, friend, people, remove, feature",Add & Friend Issues,115,"['Fraud they let someone add themselves to my account it messed up everything in my accts', 'I like it but can they add battle kitty please add it I miss it', 'If possible could you please add Inazuma Eleven series 🤗', 'you need to add back of the next on there', ""please add more episodes in komi can't communicate please"", 'Please could you add venom 2 in Netflix please.', ""Super fun BUT please add season two of mashle and the Naruto Shippuden series I've been waiting for ages so please add them and PLEASE.... ADD SEASON SIX AND SEVEN OF MY HERO ACADEMIA I can't watch it anywhere else, it left me on a cliffhanger and I'm dying to know what happens in seasons 6 and 7 so pls add them"", 'Please add more movies so that we dont have to go to other services because Netflix becomes boring', ""can u add don't show the progress bar when pauseing or seeking? and can u add don't show how many eps r in total/left ?"", ""Netflix you forgot to add Superman and Lois and dont forget to add all the seasons because some people haven't been able to watch all of it because Cw app doesn't have it all"", 'Add a feature of mentioning already watched. Sometimes we need it.', 'young sheldon only 5 seasons there in Netflix add 2 more', 'please add spider man into the spiderverse back.', 'Add Godzilla vs Kong back to Netflix now why did you make it leave and add Godzilla x Kong the new empire to Netflix and also add season 3 and 4 of octonauts above and beyond to Netflix', 'please add built-in screenshot feature to the app']"
21,"bug, fix, issue, lot, annoying",Bug & Fix Issues,109,"[""can u fix a bug beacuse I can't play the show and movies pls"", 'please fix app bug please it make my phone crash and many bug that disturb me please fix it', 'I cant download rick and morty. fix the bug please', 'there is a bug. sub titles show lately. please fix it.', 'my Netflix play screen is stuck on loading fix this bug', '🇺🇲100%📱💻🖥️Fix Bug not keeping up with Demand needs more security Fix hacking', 'Is there a bug? Because when I click on the video it immediately says error. Please fix it.', 'app will not open, but they take my automatic pmt every month and their CS are uneducated in helping solve the bug problem. i keep getting a message saying netflix has a bug to try again after they upload a bug fix, but they refuse to acknowledge it. instead they told me to delete their app, ignoring me as a paid customer. UNSATISFIED!', 'app will not open, but they take my automatic pmt every month and their CS are uneducated in helping solve the bug problem. i keep getting a message saying netflix has a bug to try again after they upload a bug fix, but they refuse to acknowledge it. instead they told me to delete their app, ignoring me as a paid customer. UNSATISFIED!', ""worst , why can't play during a call can you guys fix this"", 'my Netflix app not working how can fix this', ""Annoying bug! The app will not stay in the brightness settings I have chosen, and consistently ebbs from bright to dark. When bright it is blinding even when I've turned all options of brightness down! Please fix this bug! Thank you."", 'you guys need to fix your app because it should not be legging as much as it is', ""Well on this phone the app won't even open..It been working .I even uninstalled it and installed it back . Please fix this lik 🪲 bug"", 'My list and my 《currently watching》have both disappeared. This is not a new bug. This has happened before, and not just to me. A simple google search tells me it happened to someone in 2022, and here we are in 2025 with the bug unfixed.']"
29,"terrible, service, support, customer, ban",Terrible & Service Issues,100,"['Terrible service, Terrible business practices.', 'terrible customer service, prices too high.', ""just a terrible experience. features just don't work and no indication is given why"", ""It's getting too pricey and the quality on my Google Pixel 8 pro is terrible even though I have excellent service"", 'Terrible service. App overrides my brightness settings still terrible app', 'terrible took 20 minutes to use my account', 'Terrible Terrible after subscription I only watched black screen 😢 with sound only, I really regret.', 'Terrible service. App overrides my brightness settings', 'the new interface is terrible, difficult to navigate', 'This app has a very terrible experience for try to get in', 'this app is terrible it glitches and then when you restart it the app stops then comes back', ""terrible. they never add the full shows and there's adds. who pays for adds."", 'not worth it when you can now only use it at home and not on other devices when traveling. 0 stars, terrible company. terrible policy. especially when I pay for 4 screens. Hulu / Disney is way better and more flexible. id give it a 0 if I could.', 'this is the only streaming app I have to constantly restart to pause. it pauses on its own all the time. it is terrible!', ""there's some anime that has no English subtitles and it's so terrible""]"
15,"experience, horrible, user, ruin, awful",Experience & Horrible Issues,88,"['very very very very very bad bad experience 😠😠😠😠it waste my time', ""Very bad experience i can't buy subscription"", 'Poor experience, honestly they could do better.', 'very bad experience for household, better remove household, because it makes very bad experience', 'Dismal experience..Not allowed to start membership..', ""very poor experience. despite charging such high prices, they are not able to play , frequently video don't play. what a poor experience"", 'worst experience with Netflix and too much expensive lol 😤', 'Bad you made forged to fight a bad experience now', 'deducted the money twice for subscription, very bad experience', 'Update your app experience. You are charging so much for the Worst experience', ""worst app experience the content are good but those household notice is giving unusable experience. I can't access my Netflix so much trouble for this"", ""my experience was kinda bad but good movies it's Just Netflix is kicking me out but it's my account."", ""worst experience I had purchased 2 times memberships but it keep showing your payment is pending I can't even raise compain to customer care worst experience ever"", 'always use it over other app due to user experience', 'Amount deducted but subscription is not activated yet. very bad experience with netflix 🙄🙄']"
19,"useless, support, waste, absolutely, remove",Useless & Support Issues,79,"['Simply useless. A different error each time I want to use it.', 'No longer supporting casting makes this app pretty much useless to me', 'always loading useless i paid for it, but i cant play videos', ""can't get payment issue to fix.. tried 3 different methods.. CS useless.. app useless"", 'useless application application crashed every 20seconds', 'no 1 useless app the worst ott platform I ever seen 😡😡😡', ""my app isn't working tried everything useless"", ""I'm unable to watch anything on this app. i wasted my money over something so useless"", 'useless payment method, payments not working properly and also very worst login system', ""keeps kicking me off the video or not working at all saying I'm using an ad blocker or proxy, I have neither and don't know how to fix or where to report the problem, apsolutely useless and I want my money back for the useless prescription"", 'this app used to work on HOS , but now its not supported , useless.', 'this app is useless. this app should be free to use. 😤', 'cant watch in my phone. my payment in this app is useless', ""can't cast using app on ad plan, useless."", 'No sequels for good seasons. too much useless stuff uploaded these days']"
25,"load, article, long, news, story",Load & Article Issues,77,"[""Can't load/play contents. And NO, there are no problems with my internet networks."", 'either takes too long to load/ or has an error message.', 'will not load on my phone since the last update! have been through all the steps to fix.', 'Nothing will load or play anymore. Fix your app!', 'some how im not able to load various episodes..please assist', ""this app is great but recently there's an issue where it will not load most episodes of a cartoon or show im trying to watch. it just wont load at all"", 'Wont load on my phone recently. Also startimg to get too expensive to keep.', ""The app refuses to load the movie, I've been trying for the past 2 days but each time I try to load anything it crashes my system"", ""I can't watch my movies again, and it is not my network, too It continues to load and will never come, and it will never"", ""what happened this app can't working i haven't load why can't working arrggg"", 'does not load videos to watch. which kowkey was why I ordered the service.', 'ever since Netflix pushed me to the update 2 days ago I have had nothing but problems. it will not load it will not load it will not load nothing wants to work!!!! please fix this issue. otherwise why am I paying for the service', 'Awesome app, but it takes too long to load anything.', ""I wasn't able to load it so I uninstalled it and now I can't install it again."", 'The app was working great before the last update. Now, when I cast from my phone, the app just hangs does not load, and when it loads, it plays a bit, then pauses.']"
16,"new, line, old, device, transfer",New & Line Issues,74,"['it is all right but needs some new movies.', 'thank you so much I just want to get more update on new movies😎👑', 'This new Netflix update is garbage. The menu is even harder to use now. Just go back to the old layout', 'two device are stord now i cant download netflex on the new device', 'the new interface of Netflix is the worst', 'becoming worst day by day...old series and movies... nothing new', ""just did the new update on my device, now Netflix won't work"", ""don't late give me new movie and new episodes"", 'Netflix change the new update in TV . please bring back the older version where there are options like categories....', 'Deducted my payemnt from Tng ewallet without knowing ! No new movie updates ..', ""why can't Netflix can't update on this device"", 'Nice App Every new Movies will be there. Controls Are Good.', 'Dear, Netflix please upload all old to new movies in Hindi dubbed please.thank you 🙏🙏', 'Sarah is my name from Afoako I am 18 years old', 'UNDESIRED‼️ HOW TO TAKE OFF MY DEVICE? PLEASE‼️']"
