topic,negative,positive
-1,19965,28345
0,0,2442
1,1004,674
2,660,384
3,0,1035
4,0,662
5,543,9
6,28,418
7,324,87
8,0,372
9,0,358
10,163,182
11,14,315
12,44,281
13,148,163
14,295,5
15,0,283
16,276,3
17,0,273
18,24,245
19,0,269
20,62,203
21,0,251
22,117,119
23,209,24
24,51,170
25,27,189
26,0,212
27,82,128
28,48,162
29,0,209
30,0,204
31,6,190
32,176,20
33,167,23
34,39,149
35,2,181
36,2,180
37,167,13
38,129,49
39,12,159
40,135,34
41,0,168
42,0,166
43,138,21
44,0,159
45,1,157
46,53,101
47,99,55
48,3,146
49,103,41
50,130,14
51,9,134
52,0,142
53,117,25
54,141,0
55,54,86
56,57,83
57,135,3
58,0,138
59,15,121
60,0,135
61,0,134
62,10,121
63,1,130
64,95,36
65,27,103
66,15,115
67,9,119
68,93,35
69,100,27
70,7,120
71,3,123
72,31,94
73,64,59
74,24,99
75,92,31
76,100,23
77,119,4
78,1,120
79,112,8
80,38,82
81,109,11
82,109,10
83,0,116
84,0,116
85,0,115
86,4,110
87,4,110
88,111,1
89,1,111
90,75,37
91,0,111
92,2,107
93,46,62
94,19,88
95,98,8
96,93,13
97,97,8
98,6,99
99,1,103
100,5,99
101,104,0
102,23,81
103,2,102
104,101,3
105,1,102
106,0,101
107,0,101
108,0,101
109,1,99
110,0,99
111,0,99
112,78,20
113,1,97
114,2,95
115,4,93
116,64,33
117,95,1
118,68,28
119,3,92
120,65,29
121,88,6
122,1,93
123,16,78
124,2,91
125,14,79
126,82,10
127,6,86
128,0,92
129,6,86
130,85,6
131,1,90
132,11,79
133,1,89
134,84,6
135,85,5
136,0,89
137,12,76
138,83,5
139,79,9
140,3,85
141,0,88
142,0,87
143,0,87
144,67,20
145,74,13
146,0,86
147,1,85
148,52,34
149,3,82
150,81,4
151,79,6
152,13,72
153,0,85
154,0,85
155,0,84
156,4,80
157,68,16
158,0,84
159,82,2
160,15,69
161,4,79
162,19,64
163,1,82
164,0,83
165,0,83
166,82,1
167,0,82
168,78,4
169,9,72
170,79,2
171,77,4
172,61,20
173,2,79
174,0,80
175,5,75
176,59,21
177,30,50
178,57,23
179,3,76
180,74,5
181,3,76
182,60,18
183,52,26
184,68,10
185,6,72
186,0,78
187,35,43
188,2,75
189,0,77
190,0,76
191,2,74
192,0,76
193,0,76
194,1,74
195,71,4
196,7,68
197,1,73
198,0,74
199,1,73
200,3,71
201,72,2
202,56,18
203,0,73
204,0,73
205,0,73
206,52,21
207,8,65
208,0,72
209,10,62
210,0,72
211,1,71
212,0,72
213,2,70
214,0,71
215,65,6
216,67,4
217,0,71
218,66,5
219,2,69
220,63,8
221,0,70
222,51,19
223,70,0
224,0,70
225,0,70
226,2,67
227,0,69
228,60,9
229,2,67
230,64,5
231,0,69
232,61,8
233,60,9
234,0,69
235,18,50
236,0,68
237,0,68
238,0,68
239,0,68
240,0,68
241,0,68
242,0,68
243,0,68
244,2,66
245,2,66
246,0,68
247,0,68
248,0,67
249,0,67
250,0,67
251,44,23
252,2,65
253,3,64
254,0,67
255,0,67
256,2,65
257,0,67
258,12,55
259,9,57
260,59,7
261,0,66
262,7,59
263,40,26
264,0,66
265,1,65
266,0,66
267,1,65
268,0,66
269,0,66
270,0,66
271,66,0
272,0,66
273,0,65
274,3,62
275,0,65
276,0,65
277,56,9
278,0,65
279,0,65
280,0,65
281,0,65
282,0,65
283,0,65
284,4,61
285,12,53
286,1,63
287,58,6
288,56,8
289,0,64
290,0,64
291,0,64
292,0,64
293,0,64
294,0,64
295,1,63
296,0,64
297,0,64
298,2,62
299,59,5
300,54,10
301,0,64
302,0,64
303,0,64
304,0,64
305,0,64
306,11,53
307,53,11
308,0,63
309,0,63
310,0,63
311,0,63
312,0,63
313,0,63
314,0,63
315,0,63
316,57,6
317,0,63
318,0,63
319,37,26
320,1,62
321,0,63
322,61,1
323,8,54
324,0,62
325,0,62
326,0,62
327,0,62
328,0,62
329,0,62
330,0,62
331,0,62
332,0,62
333,33,29
334,50,12
335,0,62
336,0,62
337,55,7
338,0,62
339,0,62
340,0,61
341,0,61
342,0,61
343,0,61
344,0,61
345,0,61
346,61,0
347,0,61
348,60,1
349,0,61
350,25,36
351,0,61
352,0,61
353,0,61
354,1,60
355,60,1
356,54,7
357,0,61
358,0,61
359,0,61
360,1,60
361,0,60
362,0,60
363,56,4
364,0,60
365,0,60
366,0,60
367,36,24
368,1,59
369,35,25
370,0,60
371,0,60
372,0,60
373,40,20
374,0,60
375,0,60
376,0,60
377,0,60
378,0,60
379,0,60
380,0,60
381,0,60
382,0,60
383,47,13
384,1,59
385,57,3
386,0,60
387,0,60
388,0,59
389,0,59
390,0,59
391,0,59
392,0,59
393,0,59
394,0,59
395,5,54
396,1,58
397,0,59
398,0,59
399,0,59
400,48,11
401,0,59
402,0,59
403,0,59
404,0,59
405,2,57
406,0,59
407,0,58
408,5,53
409,40,18
410,0,58
411,0,58
412,0,58
413,0,58
414,0,58
415,0,58
416,0,58
417,0,58
418,0,58
419,0,58
420,0,58
421,0,58
422,0,58
423,0,58
424,0,58
425,0,58
426,0,58
427,0,58
428,0,58
429,0,58
430,0,58
431,0,58
432,0,58
433,33,25
434,0,58
435,0,57
436,0,57
437,0,57
438,0,57
439,0,57
440,31,26
441,10,47
442,0,57
443,0,57
444,0,57
445,0,57
446,0,57
447,0,57
448,0,57
449,0,57
450,0,57
451,0,57
452,0,57
453,57,0
454,0,57
455,0,57
456,0,57
457,0,57
458,0,57
459,49,8
460,0,57
461,0,57
462,0,57
463,0,57
464,0,56
465,0,56
466,0,56
467,55,1
468,31,25
469,0,56
470,0,56
471,0,56
472,53,3
473,0,56
474,0,56
475,37,19
476,0,56
477,0,56
478,0,56
479,0,56
480,15,41
481,0,56
482,0,56
483,31,25
484,1,55
485,2,54
486,0,56
487,0,56
488,0,56
489,0,56
490,0,56
491,37,18
492,0,55
493,0,55
494,0,55
495,0,55
496,0,55
497,0,55
498,0,55
499,0,55
500,0,55
501,0,55
502,0,55
503,0,55
504,0,55
505,0,55
506,0,55
507,0,55
508,0,55
509,0,55
510,0,55
511,34,21
512,0,55
513,16,39
514,0,55
515,0,55
516,1,54
517,0,55
518,0,55
519,46,9
520,0,55
521,0,55
522,0,54
523,0,54
524,0,54
525,0,54
526,0,54
527,0,54
528,0,54
529,0,54
530,0,54
531,0,54
532,44,10
533,53,1
534,0,54
535,0,54
536,0,54
537,0,54
538,0,54
539,0,54
540,0,54
541,0,54
542,0,54
543,0,54
544,9,45
545,25,29
546,0,54
547,0,54
548,50,4
549,0,54
550,0,54
551,3,51
552,0,54
553,17,37
554,0,54
555,0,54
556,2,52
557,0,54
558,0,54
559,0,53
560,0,53
561,3,50
562,0,53
563,0,53
564,0,53
565,0,53
566,0,53
567,0,53
568,0,53
569,0,53
570,0,53
571,0,53
572,0,53
573,0,53
574,0,53
575,0,53
576,0,53
577,0,53
578,0,53
579,0,53
580,0,53
581,0,53
582,26,27
583,4,49
584,0,53
585,0,53
586,0,53
587,0,53
588,43,10
589,0,53
590,0,53
591,0,53
592,0,53
593,0,53
594,0,53
595,0,53
596,0,53
597,0,53
598,0,52
599,0,52
600,0,52
601,0,52
602,0,52
603,0,52
604,0,52
605,0,52
606,0,52
607,0,52
608,0,52
609,0,52
610,0,52
611,0,52
612,0,52
613,0,52
614,0,52
615,0,52
616,37,15
617,0,52
618,0,52
619,0,52
620,0,52
621,0,52
622,0,52
623,0,52
624,0,52
625,0,52
626,22,30
627,0,52
628,26,26
629,0,52
630,3,49
631,0,52
632,0,52
633,0,52
634,13,38
635,47,4
